date,region,candidate,party,offyear,runoff,voteshare,disabled
03/08/1000,National Popular Vote,Independent,independent,FALSE,FALSE,17.39,
03/08/1000,National Popular Vote,Social Gospel Party,sgp,FALSE,FALSE,8.7,
03/08/1000,National Popular Vote,Labour,labour,FALSE,FALSE,21.74,
03/08/1000,National Popular Vote,Republican Federation,sdf,FALSE,FALSE,17.39,
03/08/1000,National Popular Vote,Reform Party,reform,FALSE,FALSE,34.78,
03/08/1000,Matatheste,Mokaeo,sgp,FALSE,FALSE,100,
03/08/1000,New Queria,JoR,sgp,FALSE,FALSE,60,
03/08/1000,New Queria,Len Pinecone,reform,FALSE,FALSE,40,
03/08/1000,Yapburgh,Superboy,reform,FALSE,FALSE,100,
03/08/1000,Opplica,Kennedy Teagan,reform,FALSE,FALSE,100,
03/08/1000,Rorcia,Francisco Pierre,independent,FALSE,FALSE,100,
03/08/1000,Larimer,Edmund Montfort,reform,FALSE,FALSE,75,
03/08/1000,Larimer,Aye,reform,FALSE,FALSE,15,
03/08/1000,Larimer,Baudshaw,reform,FALSE,FALSE,10,
03/08/1000,Taclima,,,,,0,TRUE
03/08/1000,Porcerle,,,,,0,TRUE
03/08/1000,Estellia,Jeff Haffley,labour,FALSE,FALSE,100,
03/08/1000,Stettigan,EeveeGamer,reform,FALSE,FALSE,60,
03/08/1000,Stettigan,Capy,sdf,FALSE,FALSE,40,
03/08/1000,Acalliana,Scott Osborn,independent,FALSE,FALSE,100,
03/08/1000,Cerbska,,,,,0,TRUE
03/08/1000,Armallos,DairyDuke,reform,FALSE,FALSE,100,
03/08/1000,Cambria,,,,,0,TRUE
03/08/1000,Calleoria,LuveelVoom,sdf,FALSE,FALSE,97,
03/08/1000,Calleoria,Tristiano,labour,FALSE,FALSE,3,
03/08/1000,Blesna,Rick,labour,FALSE,FALSE,100,
03/08/1000,Kostos,The_Green_Bean,reform,FALSE,FALSE,100,
